Sent Code	Accession Bank ID	Genus	Species	Scientific Name	Source or Donor Name	Local Names	Collection Country	Collection Site	Place of collection
W 165	CIMMYT2021-2022 NO.2163	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 166	CIMMYT2021-2022 NO.2176	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 167	CIMMYT2021-2022 NO.2179	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 168	CIMMYT2021-2022 NO.2184	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 169	CIMMYT2021-2022 NO.2186	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 170	CIMMYT2021-2022 NO.2227	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	20SAWYT	Mexico
W 171	CIMMYT2021-2022 NO.1861	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	45 IBWSN	Mexico
W 172	CIMMYT2021-2022 NO.2075	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	45 IBWSN	Mexico
W 173	CIMMYT2021-2022 NO.2205	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	33ESWYT	Mexico
W 174	CIMMYT2021-2022 NO.2223	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	20SAWYT	Mexico
W 175	CIMMYT2021-2022 NO.2226	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	20SAWYT	Mexico
W 176	CIMMYT2021-2022 NO.2229	Triticum	aestivum	Triticum aestivum L	CIMMYT	قمح الخبز	CIMMYT	20SAWYT	Mexico
W 177	599	Triticum	aestivum	Triticum aestivum L	Farm	قمح الخبز	Mexico	Unknow	CIMMYT Sample
W 178	644	Triticum	aestivum	Triticum aestivum L	ICARDA-113081	قمح الخبز	Saudi Arabia	Unknow	Al-Baha
W 179	817	Triticum	aestivum	Triticum aestivum L	Farm	قمح(زراعي نجران)	Saudi Arabia	Najran	Najran 
W 180	876	Triticum	aestivum	Triticum aestivum L	Market	قمح (معياء)	Saudi Arabia	Mecca	Taif
